region,year,wastewater,chemical oxygen,ammonia nitrogen,so,no,smoke and powder,gdp
廣西壯族自治區,2002,184657,84.6,,68.3,,88.6377,2523.73
海南省,2002,23885,6.6,,2.2,,2.3849,642.73
重慶市,2002,126266,25,,70,,39.0919,2232.86
四川省,2002,227067,93.6,,111.7,,127.8688,4725.01
貴州省,2002,53254,20.5,,132.5,,66.8665,1243.43
雲南省,2002,66271,30.1,,36.4,,25.435,2312.82
西藏自治區,2002,1543,0.8,,0.1,,0.2954,162.04
陝西省,2002,67010,32.3,,63.8,,60.1726,2253.39
甘肅省,2002,37557,13,,42.7,,27.4737,1232.03
青海省,2002,11131,3.3,,3.2,,53.5283,340.65
寧夏回族自治區,2002,23287,11.1,,22.2,,22.9969,377.16
新疆維吾爾自治區,2002,47756,20.5,,29.6,,28.4643,1612.65
北京市,2003,93753,13.40737,,18.3,,10.2928,5007.21
天津市,2003,46329,13.04375,,25.9,,12.4627,2578.03
河北省,2003,181230,63.60739,,142.2,,135.422,6921.29
山西省,2003,92506,35.83346,,136.3,,173.2043,2855.23
內蒙古自治區,2003,50790,27.43643,,128.8,,80.3744,2388.38
遼寧省,2003,191841,54.64477,,82.3,,93.5054,6002.54
吉林省,2003,82491,37.17263,,27.2,,40.4131,2662.08
黑龍江省,2003,118747,51.04686,,35.6,,61.7674,4057.4
上海市,2003,190997,33.8441,,45,,13.2405,6694.23
江蘇省,2003,420070,76.72591,,124.1,,83.7818,12442.87
浙江省,2003,270262,56.20237,,73.4,,57.3107,9705.02
安徽省,2003,141260,41.24219,,45.5,,70.1895,3923.11
福建省,2003,164622,35.14097,,30.4,,26.9071,4983.67
江西省,2003,111958,42.20881,,43.7,,52.9781,2807.41
山東省,2003,245782,82.95037,,183.6,,138.4311,12078.15
河南省,2003,239766,70.74183,,103.9,,142.5868,6867.7
湖北省,2003,230578,63.44233,,60.9,,62.8316,4757.45
湖南省,2003,235777,81.40928,,84.8,,118.5265,4659.99
廣東省,2003,546430,98.19027,,107.5,,66.7244,15844.64
廣西壯族自治區,2003,214814,92.69192,,87.4,,103.259,2821.11
海南省,2003,26051,6.75248,,2.3,,2.401,713.96
重慶市,2003,133961,26.06177,,76.6,,43.2833,2555.72
四川省,2003,228414,93.63062,,120.7,,129.9509,5333.09
貴州省,2003,55542,22.02889,,132.3,,64.4639,1426.34
雲南省,2003,68181,28.51772,,45.3,,29.2262,2556.02
西藏自治區,2003,1079,0.79037,,0.1,,0.2732,185.09
陝西省,2003,70765,32.11186,,76.6,,66.522,2587.72
甘肅省,2003,47893,15.84528,,49.4,,33.1588,1399.83
青海省,2003,11310,3.18874,,6,,11.8242,390.2
寧夏回族自治區,2003,23538,10.1562,,29.3,,30.6874,445.36
新疆維吾爾自治區,2003,55905,22.87974,,33.1,,36.4335,1886.35
北京市,2004,98063,20.5,12.98,19.1,,10.6,5007.21
天津市,2004,48671,13.7,13.7,22.7,,10.3,2578.03
河北省,2004,206736,65.81,65.81,142.8,,144.7,6921.29
山西省,2004,93738,38.02,38.02,141.5,,176.4,2855.23
內蒙古自治區,2004,52568,27.52,27.52,117.9,,101.9,2388.38
遼寧省,2004,195257,50.04,50.04,83.1,,92.2,6002.54
吉林省,2004,86923,36.62,36.62,28.5,,44.7,2662.08
黑龍江省,2004,114340,50.46,50.46,37.3,,64.3,4057.4
上海市,2004,193325,29.38,29.38,47.4,,13.4,6694.23
江蘇省,2004,466111,85.39,85.39,124,,76.8,12442.87
浙江省,2004,281326,55.65,55.65,81.4,,55.2,9705.02
安徽省,2004,148316,42.7,42.7,49,,71.7,3923.11
福建省,2004,192968,35.85,35.85,32.6,,28.5,4983.67
江西省,2004,120092,45.37,45.37,51.9,,57.3,2807.41
山東省,2004,264014,77.89,77.89,182.1,,97.4,12078.15
河南省,2004,250652,69.62,69.62,125.6,,148.7,6867.7
湖北省,2004,232629,61.44,61.44,69.2,,65,4757.45
湖南省,2004,250007,84.99,84.99,87.3,,125.7,4659.99
廣東省,2004,541717,92.7,92.7,114.8,,65.5,15844.64
廣西壯族自治區,2004,218776,99.4,99.4,94.4,,106,2821.11
海南省,2004,33055,9.27,9.27,2.3,,2.2,713.96
重慶市,2004,135518,27.05,27.05,79.5,,42.4,2555.72
四川省,2004,241720,88.21,88.21,126.5,,130.2,5333.09
貴州省,2004,55687,22.33,22.33,131.5,,57,1426.34
雲南省,2004,78303,29.02,29.02,47.8,,30.7,2556.02
西藏自治區,2004,4501,1.38,1.38,0.1,,0.2,185.09
陝西省,2004,75810,33.82,33.82,81.8,,72.9,2587.72
甘肅省,2004,45171,15.85,15.85,48.4,,31.1,1399.83
青海省,2004,14287,3.93,3.93,7.3,,15.9,390.2
寧夏回族自治區,2004,23773,6.62,6.62,29.3,,18.3,445.36
新疆維吾爾自治區,2004,60040,26.17,26.17,48.1,,42.7,1886.35
北京市,2005,101009,11.6,11.6,19,,9.1,6033.21
天津市,2005,60361,14.6,14.6,26.5,,11,3110.97
河北省,2005,208524,66.1,66.1,149.5,,144.5,8477.63
山西省,2005,95096,38.7,38.7,151.6,,181.7,3571.37
內蒙古自治區,2005,56241,29.7,29.7,145.6,,123.4,3041.07
遼寧省,2005,218705,64.4,64.4,119.7,,119.9,6672
吉林省,2005,98005,40.7,40.7,38.3,,55.1,3122.01
黑龍江省,2005,114041,50.4,50.4,50.8,,67.2,4750.6
上海市,2005,199710,30.4,30.4,51.3,,12.6,8072.83
江蘇省,2005,519425,96.6,96.6,137.3,,80.7,15003.6
浙江省,2005,313196,59.5,59.5,86,,44.3,11648.7
安徽省,2005,156591,44.4,44.4,57.1,,76,4759.3
福建省,2005,212392,39.4,39.4,46.1,,32.4,5763.35
江西省,2005,123320,45.7,45.7,61.3,,59.6,3456.7
山東省,2005,280377,77,77,200.2,,99.2,15021.84
河南省,2005,262564,72.1,72.1,162.4,,163.2,8553.79
湖北省,2005,237368,61.6,61.6,71.8,,66.8,5633.24
湖南省,2005,255638,89.5,89.5,91.9,,130.8,5641.94
廣東省,2005,638403,105.8,105.8,129.4,,60,18864.62
廣西壯族自治區,2005,270857,107,107,102.4,,110.6,3433.5
海南省,2005,35274,9.5,9.5,2.2,,2.2,819.66
重慶市,2005,145221,26.9,26.9,83.7,,42.9,3034.58
四川省,2005,261651,78.3,78.3,130,,117.5,6379.63
貴州省,2005,55668,22.6,22.6,135.8,,55.5,1677.8
雲南省,2005,75202,28.5,28.5,52.2,,38.2,3081.91
西藏自治區,2005,4555,1.4,1.4,0.2,,0.4,220.34
陝西省,2005,83368,35,35,92.2,,73.4,3175.58
甘肅省,2005,43728,18.2,18.2,56.3,,32.8,1688.49
